task,label,dimension
Collaborating on a community outreach program to promote spaying and neutering of pets.,ai_society_instruction,no
Assisting with merchandise sales and inventory management.,ai_society_instruction,no
Providing cultural context and understanding for non-English speaking students and families,ai_society_instruction,no
Designing a website to showcase the doctor's expertise and services to attract new patients.,ai_society_instruction,no
Conducting customer satisfaction surveys to gather feedback and improve the dining experience.,ai_society_instruction,no
Writing grant proposals and securing funding.,ai_society_instruction,no
Assisting with the creation and implementation of policies and procedures for tutoring businesses.,ai_society_instruction,no
Pet care and dog walking,ai_society_instruction,no
Automating the deployment of software updates and patches across multiple servers.,ai_society_instruction,no
Coordinating transportation for event attendees with travel arrangements made by the travel agent.,ai_society_instruction,no
Assisting with tracking and following animals to capture their movements and behaviors.,ai_society_instruction,no
Creating a budget for the doctor's practice that maximizes profits and minimizes expenses.,ai_society_instruction,no
Teaching the homemaker how to read food labels and choose healthier options.,ai_society_instruction,no
Developing a virtual assistant for the yoga instructor to manage administrative tasks and scheduling.,ai_society_instruction,no
Creating a user-friendly electronic medical record system.,ai_society_instruction,no
Representing the entrepreneur in legal disputes and litigation.,ai_society_instruction,no
Developing a distribution network to reach new markets.,ai_society_instruction,no
Providing investment advice and portfolio management services.,ai_society_instruction,no
Creating a guide for handling emergencies on the road.,ai_society_instruction,no
Crafting a proposal for new routes or destinations to expand the airline's reach.,ai_society_instruction,no
Collaborating on interdisciplinary research projects with other healthcare professionals.,ai_society_instruction,no
Planning the most efficient route for the truck driver's delivery schedule.,ai_society_instruction,no
Identifying and addressing team members' strengths and weaknesses to improve performance.,ai_society_instruction,no
Collaborating on the creation of style guides and brand guidelines.,ai_society_instruction,no
Implementing a chatbot to improve the blogger's customer service and engagement with their audience.,ai_society_instruction,no
Developing a content calendar and video ideas,ai_society_instruction,no
Creating a personalized recommendation engine to help the virtual assistant suggest products and services to clients.,ai_society_instruction,no
Providing support and counseling to healthcare staff dealing with burnout and compassion fatigue.,ai_society_instruction,no
Analyzing nutrition and hydration needs to improve performance and recovery.,ai_society_instruction,no
Developing a mobile app to deliver news and updates to subscribers.,ai_society_instruction,no
Conducting social media listening to monitor brand mentions and customer feedback.,ai_society_instruction,no
Optimizing code performance and efficiency,ai_society_instruction,no
Creating and managing a loyalty program or rewards system to incentivize fans to engage with the gamer's content and brand.,ai_society_instruction,no
Providing training and support to campaign volunteers and staff.,ai_society_instruction,no
Developing a cohesive brand identity and messaging strategy,ai_society_instruction,no
Developing customized diet plans for pets with specific health conditions.,ai_society_instruction,no
Develop a comprehensive social media strategy to increase engagement and followers.,ai_society_instruction,no
Managing and organizing content calendars and schedules.,ai_society_instruction,no
Providing accountability and motivation to stick to a fitness and nutrition plan.,ai_society_instruction,no
Building a custom software tool to help the musician manage their finances and royalties.,ai_society_instruction,no
Developing a nutrition-focused program for a fitness center or gym.,ai_society_instruction,no
Conducting user testing to improve the user experience of social media platforms.,ai_society_instruction,no
Collaborating on strategies to maintain a healthy balance between gaming and other aspects of life.,ai_society_instruction,no
Developing educational games and activities to reinforce learning objectives.,ai_society_instruction,no
Creating wearable technology to monitor patient vital signs and alert doctors to potential issues.,ai_society_instruction,no
Choosing the location and setting for the shoot.,ai_society_instruction,no
Translating nutrition-related marketing materials for international markets.,ai_society_instruction,no
Providing administrative support such as data entry and file management.,ai_society_instruction,no
"Creating multimedia content, such as videos and infographics, to enhance the website's content.",ai_society_instruction,no
Developing and implementing science-based service learning projects.,ai_society_instruction,no
Developing a music and art program for patients with dementia.,ai_society_instruction,no
Creating a software to simulate the effects of different fabrics and materials on clothing designs.,ai_society_instruction,no
Integrating Chef with continuous integration and delivery tools to streamline the development and deployment process.,ai_society_instruction,no
Developing and maintaining documentation for software projects.,ai_society_instruction,no
Negotiate with buyers on behalf of the farmer to secure favorable prices and terms.,ai_society_instruction,no
Creating a nutrition-focused newsletter to distribute to clients or the community.,ai_society_instruction,no
Collaborating on a video series that highlights the Actor's talents and the Influencer's message.,ai_society_instruction,no
Assisting with domain name registration and disputes.,ai_society_instruction,no
Creating a style guide to ensure consistency in translations across different projects.,ai_society_instruction,no
Developing documentation for quality improvement initiatives,ai_society_instruction,no
Developing marketing materials for the Chef's business,ai_society_instruction,no
Collaborating on accessibility design to ensure the application is usable for all users.,ai_society_instruction,no
Conducting user research and analysis to inform website design and development decisions.,ai_society_instruction,no
Providing guidance on investment opportunities to grow the photographer's wealth.,ai_society_instruction,no
Conducting market research to identify new travel destinations and trends.,ai_society_instruction,no
Designing and building animal rehabilitation facilities with specialized equipment and technology.,ai_society_instruction,no
Creating a virtual reality experience to showcase a client's products or services.,ai_society_instruction,no
Identifying and addressing financial stressors that may be impacting the client's financial well-being.,ai_society_instruction,no
Collaborating on a weight loss plan for an overweight pet.,ai_society_instruction,no
Designing ergonomic equipment such as chairs and desks to improve the designer's work environment.,ai_society_instruction,no
Analyzing data and creating visualizations to support findings.,ai_society_instruction,no
Analyzing sales data to identify popular styles and inform future design decisions.,ai_society_instruction,no
Creating an automated grading system for assignments and exams.,ai_society_instruction,no
Providing media training and coaching to help the writer effectively communicate their message in interviews and other public appearances.,ai_society_instruction,no
Creating engaging event programs and schedules.,ai_society_instruction,no
Assisting with localization efforts to make games more accessible and appealing to players in different regions.,ai_society_instruction,no
Designing and building a composting system to reduce waste and improve soil health.,ai_society_instruction,no
Collaborating with local businesses to offer tutoring services as a benefit to their employees.,ai_society_instruction,no
"Organizing and promoting public events, such as lectures or exhibits, to raise awareness about endangered species and conservation efforts.",ai_society_instruction,no
Developing a virtual fitting room application to allow customers to try on clothes virtually.,ai_society_instruction,no
Designing and constructing a new bridge or building.,ai_society_instruction,no
Integrating a blog section on the website to share the photographer's thoughts and experiences.,ai_society_instruction,no
Developing lesson plans and creating engaging materials for classroom instruction.,ai_society_instruction,no
Developing post-launch content and updates to keep players engaged and coming back for more.,ai_society_instruction,no
Designing and testing new food packaging materials that preserve the nutritional value of food.,ai_society_instruction,no
Providing expert analysis and commentary on scientific topics covered in the YouTuber's videos.,ai_society_instruction,no
